C,t,Entropy
50,2,3.80614532986407
50,4,3.675835645186989
50,6,3.5988176250410824
50,8,3.524968012289064
50,10,3.3097067516080436
50,12,2.9659942765437823
50,16,2.2867054993429954
50,18,2.075150061620171
100,2,3.530652314648843
100,4,3.39959154611032
100,6,3.214627158944723
100,8,2.910599366182778
100,10,2.5945754953337685
100,12,2.2043099012786356
100,16,1.8157486109103385
100,18,1.7193042661570113
200,2,3.1529795394851834
200,4,2.90870559465401
200,6,2.5869660489956
200,8,2.2155750302768324
200,10,1.9032306341803413
200,12,1.6997224077990822
200,16,1.485660479324035
200,18,1.4180650684994218
500,2,2.4719281184047723
500,4,2.1385791235840297
500,6,1.7605861497561082
500,8,1.4998022270429194
500,10,1.333246242693085
500,12,1.2262330437395172
500,16,1.0825236701280005
500,18,1.0290383690876765
