C,t,S
50,2,79.42852211491078
50,4,54.618113449216125
50,6,33.50541305021734
50,8,16.621358120284835
50,10,4.840125497515599
50,12,-1.0004102104612256
50,16,-0.3650779354988771
50,18,2.3119508160246616
100,2,42.038248902042625
100,4,23.166843276753433
100,6,9.140302770490624
100,8,0.8999745968460511
100,10,-1.8330532390843501
100,12,-1.3368529637795388
100,16,3.1733181329319033
100,18,6.221429781195758
200,2,18.789852114065894
200,4,6.346626999407607
200,6,-0.12166882133813395
200,8,-1.7828540881542907
200,10,-1.0156755143392204
200,12,0.79387074483891
200,16,5.942440010687533
200,18,9.098380721324382
500,2,3.5715847797404168
500,4,-0.8176049892930349
500,6,-1.5164267482729281
500,8,-0.584589463298604
500,10,1.0851781784242645
500,12,3.2178985649838143
500,16,8.614056472735454
500,18,11.842643946302562
