C,t,log_rho
50,2,-27.631021115928547
50,4,-27.63102111540364
50,6,-27.368194083763886
50,8,-12.419124297356124
50,10,-0.7261273608754296
50,12,5.344408880376824
50,16,5.43527756043164
50,18,3.037148023808428
100,2,-27.63093456063231
100,4,-18.823979508034643
100,6,-5.048094099956032
100,8,3.316405971197943
100,10,6.394174957509675
100,12,6.249762609454313
100,16,2.2420855668271593
100,18,-0.6307053994021493
200,2,-14.53359818348991
200,4,-2.2250869150859427
200,6,4.459013450664903
200,8,6.475409400807768
200,10,6.033005470867843
200,12,4.467563337650948
200,16,-0.3471715149550968
200,18,-3.364949177630045
500,2,0.702850198183804
500,4,5.391396356154714
500,6,6.432527173815167
500,8,5.773210933972688
500,10,4.296598981362971
500,12,2.308827480131043
500,16,-2.851198115642865
500,18,-5.966930188406625
