time,C_vaccine_Ninj3,C_vaccine_Ninj2,C_vaccine_Ninj1
0.0,30.344429,45.620182,792.34045
0.005,37.7653,56.776806,986.11096
0.01,44.342247,66.66467,1157.8453
0.015,49.577408,74.53528,1294.5436
0.02,53.398273,80.27961,1394.3123
0.025,56.012665,84.21012,1462.5781
0.03,57.722137,86.78015,1507.2151
0.035,58.805573,88.40901,1535.5054
0.04,59.477257,89.41883,1553.0441
0.045,59.886513,90.03411,1563.7305
0.05,60.1317,90.40273,1570.1326
0.055,60.275555,90.619,1573.8889
0.06,60.357254,90.74182,1576.0222
0.065,60.401,90.807594,1577.1646
0.07,60.421635,90.838615,1577.7034
0.075,60.428226,90.848526,1577.8752
0.08,60.42628,90.845604,1577.8246
0.085,60.419163,90.8349,1577.6387
0.09,60.4089,90.81948,1577.3708
0.095,60.39674,90.801186,1577.0533
0.1,60.383423,90.78116,1576.7054
0.105,60.369404,90.76009,1576.3395
0.11,60.354977,90.7384,1575.9628
0.115,60.34029,90.716324,1575.5791
0.12,60.32544,90.694,1575.1915
0.125,60.31051,90.671555,1574.8016
0.13,60.295525,90.649025,1574.4104
0.135,60.2805,90.626434,1574.0181
0.14,60.265472,90.603836,1573.6256
0.145,60.250423,90.581215,1573.2328
0.15,60.235374,90.55859,1572.8397
0.155,60.22032,90.53596,1572.4468
0.16,60.205276,90.51334,1572.0538
0.165,60.190228,90.490715,1571.6608
0.17,60.17519,90.46811,1571.2682
0.175,60.16015,90.445496,1570.8755
0.18,60.145107,90.42288,1570.4827
0.185,60.130074,90.40028,1570.0902
0.19,60.115044,90.377686,1569.6978
0.195,60.100018,90.355095,1569.3053
0.2,60.084995,90.332504,1568.9131
0.205,60.069977,90.30993,1568.5209
0.21,60.05496,90.28735,1568.1288
0.215,60.039948,90.264786,1567.7368
0.22,60.02494,90.24222,1567.345
0.225,60.009933,90.219666,1566.9531
0.23,59.994934,90.197105,1566.5614
0.235,59.979935,90.17456,1566.1698
0.24,59.964947,90.15202,1565.7784
0.245,59.949955,90.129486,1565.387
0.25,59.934967,90.10696,1564.9957
0.255,59.919987,90.084435,1564.6045
0.26,59.90501,90.06192,1564.2134
0.265,59.890034,90.039406,1563.8224
0.27,59.875065,90.0169,1563.4315
0.275,59.860096,89.99439,1563.0406
0.28,59.84513,89.97189,1562.6499
0.285,59.830173,89.94941,1562.2593
0.29,59.81522,89.926926,1561.8689
0.295,59.800266,89.90444,1561.4784
0.3,59.78532,89.88197,1561.0881
0.305,59.770374,89.859505,1560.6979
0.31,59.755432,89.83704,1560.3077
0.315,59.740498,89.81458,1559.9177
0.32,59.725563,89.79214,1559.5278
0.325,59.710632,89.769684,1559.138
0.33,59.695705,89.747246,1558.7482
0.335,59.680786,89.724815,1558.3585
0.34,59.665867,89.702385,1557.969
0.345,59.650955,89.67996,1557.5796
0.35,59.636044,89.65755,1557.1903
0.355,59.621136,89.63514,1556.801
0.36,59.60623,89.61273,1556.4119
0.365,59.59133,89.59033,1556.0228
0.37,59.576435,89.56793,1555.6338
0.375,59.561543,89.54555,1555.245
0.38,59.546654,89.52316,1554.8562
0.385,59.53177,89.500786,1554.4675
0.39,59.516888,89.47841,1554.079
0.395,59.502014,89.45605,1553.6906
0.4,59.487137,89.433685,1553.3021
0.405,59.472267,89.41133,1552.9138
0.41,59.4574,89.38898,1552.5256
0.415,59.44254,89.36664,1552.1376
0.42,59.42768,89.34429,1551.7496
0.425,59.412823,89.32196,1551.3617
0.43,59.397976,89.29964,1550.9739
0.435,59.383125,89.27731,1550.5862
0.44,59.368282,89.255,1550.1986
0.445,59.353443,89.23268,1549.8112
0.45,59.338608,89.21038,1549.4237
0.455,59.323772,89.18808,1549.0364
0.46,59.308945,89.16579,1548.6492
0.465,59.294117,89.14349,1548.2621
0.47,59.279297,89.121216,1547.8751
0.475,59.26448,89.09894,1547.4882
0.48,59.249664,89.07666,1547.1013
0.485,59.234856,89.0544,1546.7146
0.49,59.220047,89.032135,1546.328
0.495,59.205242,89.00988,1545.9414
0.5,59.190445,88.98763,1545.5549
0.505,59.17565,88.965385,1545.1687
0.51,59.16086,88.94315,1544.7825
0.515,59.14607,88.92091,1544.3962
0.52,59.131283,88.89869,1544.0101
0.525,59.1165,88.876465,1543.6243
0.53,59.101727,88.85425,1543.2384
0.535,59.086952,88.83204,1542.8527
0.54,59.07218,88.80984,1542.467
0.545,59.05742,88.787636,1542.0814
0.55,59.042656,88.76544,1541.6959
0.555,59.027897,88.743256,1541.3105
0.56,59.01314,88.72107,1540.9253
0.5650000000000001,58.99839,88.69889,1540.5402
0.5700000000000001,58.983643,88.67672,1540.155
0.5750000000000001,58.9689,88.65456,1539.77
0.58,58.954155,88.63239,1539.3851
0.585,58.93942,88.61024,1539.0004
0.59,58.924686,88.58809,1538.6156
0.595,58.909958,88.56594,1538.231
0.6,58.89523,88.5438,1537.8464
0.605,58.88051,88.52167,1537.462
0.61,58.86579,88.49954,1537.0778
0.615,58.851078,88.477425,1536.6936
0.62,58.836365,88.45531,1536.3094
0.625,58.821655,88.43319,1535.9254
0.63,58.806957,88.41109,1535.5415
0.635,58.792255,88.388985,1535.1576
0.64,58.777557,88.36689,1534.7739
0.645,58.762863,88.3448,1534.3903
0.65,58.748177,88.32272,1534.0067
0.655,58.73349,88.300644,1533.6233
0.66,58.718807,88.278564,1533.2399
0.665,58.704132,88.25651,1532.8567
0.67,58.689457,88.23444,1532.4734
0.675,58.674786,88.21239,1532.0903
0.68,58.660122,88.19034,1531.7074
0.685,58.64546,88.16829,1531.3245
0.6900000000000001,58.6308,88.146255,1530.9418
0.6950000000000001,58.616142,88.124214,1530.5591
0.7000000000000001,58.60149,88.10219,1530.1765
0.705,58.58684,88.08017,1529.794
0.71,58.572197,88.05815,1529.4116
0.715,58.557556,88.03614,1529.0293
0.72,58.54292,88.01414,1528.6471
0.725,58.528282,87.992134,1528.2649
0.73,58.513657,87.97014,1527.8829
0.735,58.499027,87.94814,1527.501
0.74,58.484406,87.92616,1527.1193
0.745,58.469784,87.90418,1526.7374
0.75,58.45517,87.88221,1526.3558
0.755,58.440556,87.86024,1525.9742
0.76,58.42595,87.83828,1525.5928
0.765,58.411346,87.81632,1525.2115
0.77,58.396744,87.79437,1524.8302
0.775,58.382145,87.77242,1524.4491
0.78,58.36755,87.75048,1524.068
0.785,58.352962,87.728546,1523.687
0.79,58.33838,87.70662,1523.3062
0.795,58.32379,87.68469,1522.9253
0.8,58.309216,87.66278,1522.5447
0.805,58.29464,87.64087,1522.1642
0.81,58.280067,87.61896,1521.7836
0.8150000000000001,58.2655,87.59705,1521.4032
0.8200000000000001,58.250935,87.575165,1521.023
0.8250000000000001,58.23637,87.55327,1520.6427
