iteration,action,C_inj_0,t_inj_0
1,8.110308020034768e+16,3941.6814,0.0
2,6.46889515971362e+16,9184.117662,0.0
3,4.8273531996623704e+16,21398.99415246,0.0
4,3.1852436313982216e+16,49859.6563752318,0.0
5,1.542229697268363e+16,116172.9993542901,0.0
6,39183924274341.2,270683.08849549596,0.0
7,6582.3300076386395,630691.5961945057,0.0
8,6582.233545465306,630691.9067758229,0.0
9,6582.1370858485925,630692.2173530242,0.0
10,6582.040628788566,630692.5279261095,0.0
11,6581.944174284868,630692.8384950793,0.0
12,6581.847722337475,630693.1490599334,0.0
13,6581.751272946453,630693.4596206718,0.0
14,6581.65482611174,630693.7701772948,0.0
15,6581.558381833077,630694.0807298026,0.0
16,6581.461940110405,630694.3912781951,0.0
17,6581.3655009436,630694.7018224724,0.0
18,6581.2690643326705,630695.0123626348,0.0
19,6581.172630277356,630695.3228986822,0.0
20,6581.0761987775195,630695.6334306151,0.0
21,6580.979769833315,630695.9439584331,0.0
22,6580.883343444613,630696.2544821365,0.0
23,6580.786919610839,630696.5650017256,0.0
24,6580.6904983327195,630696.8755172,0.0
25,6580.594079609549,630697.1860285602,0.0
26,6580.497663441125,630697.4965358062,0.0
27,6580.4012498280945,630697.807038938,0.0
28,6580.304838769451,630698.1175379562,0.0
29,6580.208430265642,630698.4280328605,0.0
30,6580.112024316514,630698.7385236509,0.0
