iteration,action,C_inj_0,t_inj_0,C_inj_1,t_inj_1,C_inj_2,t_inj_2
1,1264053125651067.8,98.58391,0.0,20.342106,57.207687,20.621147,98.5856
2,6.04876445555895,229.70051030000002,0.0,151.45870630000002,52.207687,151.73774730000002,93.5856
3,6.000995747430701,229.68531255149887,0.0,151.4332033749777,52.39021466457536,151.70982401889802,93.70194067339753
4,5.9577815818565325,229.67027495992525,0.0,151.40780010607187,52.6404872112131,151.68193941093256,93.74340491476215
5,5.9100765459530455,229.65549992390538,0.0,151.38232606171027,52.884445804425795,151.65397265271838,93.783458533221
6,5.862206429370442,229.6409799375672,0.0,151.3568172952733,53.12173199506036,151.62609028453906,93.82583686606122
7,5.810008976430115,229.62672666325597,0.0,151.33136619593412,53.35442085997231,151.59830402948154,93.86895662727746
8,5.75850318407649,229.61271952825345,0.0,151.30596476049624,53.57693457108027,151.5704551686615,93.91275463371502
9,5.677146082048836,229.59900573083203,0.0,151.28049176085614,53.869224047017255,151.54258848566917,93.95672668859021
10,5.5150984020216995,229.58564809781046,0.0,151.2550663963117,54.15235689268595,151.5148443721199,94.00167829395635
11,5.524876399572963,229.49954654327027,0.0,151.22967567777982,54.348596750446106,151.4871592749027,94.04755143605712
12,5.410538569026627,229.48683206225823,0.0,151.20442699575813,54.687248397967814,151.45938756982576,94.09355332947744
13,5.297416596795678,229.47459761488585,0.0,151.1791006626807,55.01556400194226,151.431771090609,94.14081935834088
14,5.175534386629535,229.39033512387385,0.0,151.15390125800454,55.339390137882965,151.40427811522696,94.18936856749724
15,5.0658667954037755,229.3791105554019,0.0,151.1288098167317,55.72066423650199,151.37676758770465,94.16405182197109
16,4.852620843233348,229.3685248852228,0.0,151.10434598892485,56.10017767315996,151.34948686772475,94.21320720541014
17,4.738009249546367,229.28690279536895,0.0,151.08049953282284,56.47166327076774,151.32227934112015,94.18768120345766
18,4.5930799877273465,229.2777127891502,0.0,151.05748144286258,56.9070602889622,151.29530795693958,94.1562946400231
19,4.321951886900677,229.2693926262324,0.0,151.03572377186308,57.40502275080329,151.26868638795386,94.18179543452288
20,4.13230264782467,229.26215597646157,0.0,151.01486103000923,57.88418940989819,151.2423214031807,94.12823481808076
21,3.8493067869052253,229.25605093122743,0.0,150.99535916302952,58.41723748254336,151.21642019948854,94.061124567198
22,3.5260634930963985,229.2513499164556,0.0,150.97710594222855,58.993063003196575,151.1909932856635,93.98482432677443
23,3.2009580805750923,229.18001946056134,0.0,150.960498094238,59.53812340763934,151.16640321870912,93.8968313575397
24,2.902481285593006,229.1787746158637,0.0,150.94523765971616,60.109062630734115,151.14264713647415,93.80375021053038
25,2.574026467936799,229.17961016888057,0.0,150.9316532474355,60.700589311529924,151.12000617741452,93.70448894270656
26,2.2160881232728737,229.11782826710294,0.0,150.91986126680587,61.295030304963916,151.09887316018964,93.60269133960765
27,4.757095133455707,229.0603861286043,0.0,150.9099854572555,56.295030304963916,151.07938621850272,93.55471663886196
28,4.542212951245002,228.97957047410839,0.0,150.88791557942125,56.748219818658164,151.05286399943068,93.51360398875912
29,4.3837917159826,228.90011378233697,0.0,150.86687043085345,57.18721469765016,151.0266666337238,93.46257818235544
30,4.165226030906943,228.8216413204766,0.0,150.84706893989886,57.68721960536484,151.00098218690488,93.46626263718129
