time,C_vaccine_Ninj3,C_vaccine_Ninj2,C_vaccine_Ninj1
0.0,51.83394,57.345306,755.62036
0.005,64.51017,71.36936,940.41077
0.01,75.74481,83.79856,1104.1864
0.015,84.687454,93.69205,1234.5494
0.02,91.214195,100.912766,1329.6946
0.025,95.68006,105.85347,1394.7968
0.03,98.60017,109.08406,1437.365
0.035,100.450874,111.13155,1464.3441
0.04,101.598236,112.40091,1481.0702
0.045,102.297325,113.17433,1491.2611
0.05,102.71615,113.63769,1497.3667
0.055,102.961876,113.909546,1500.9489
0.06,103.10143,114.06394,1502.9833
0.065,103.17616,114.14662,1504.0726
0.07,103.21141,114.185616,1504.5865
0.075,103.22267,114.19807,1504.7506
0.08,103.219345,114.19439,1504.7021
0.085,103.207184,114.18094,1504.5249
0.09,103.18966,114.16155,1504.2695
0.095,103.168884,114.138565,1503.9666
0.1,103.14613,114.11339,1503.6349
0.105,103.12219,114.08691,1503.2859
0.11,103.09755,114.05965,1502.9266
0.115,103.07245,114.03188,1502.5609
0.12,103.0471,114.00382,1502.191
0.125,103.02159,113.9756,1501.8193
0.13,102.99599,113.94729,1501.4462
0.135,102.97033,113.91889,1501.072
0.14,102.94466,113.89049,1500.6978
0.145,102.91896,113.86206,1500.3231
0.15,102.89324,113.83362,1499.9484
0.155,102.86753,113.80517,1499.5735
0.16,102.84183,113.77673,1499.199
0.165,102.81612,113.74829,1498.8241
0.17,102.790436,113.71987,1498.4496
0.17500000000000002,102.76474,113.69145,1498.0751
0.18,102.73905,113.663025,1497.7006
0.185,102.71337,113.63461,1497.3262
0.19,102.6877,113.60621,1496.9519
0.195,102.662025,113.57781,1496.5778
0.2,102.63637,113.54942,1496.2036
0.20500000000000002,102.61071,113.52104,1495.8296
0.21,102.58506,113.49266,1495.4557
0.215,102.55942,113.464294,1495.0819
0.22,102.53378,113.43593,1494.7081
0.225,102.50815,113.40758,1494.3346
0.23,102.48252,113.37923,1493.9609
0.23500000000000001,102.45691,113.35088,1493.5875
0.24,102.4313,113.322556,1493.2142
0.245,102.40569,113.29423,1492.841
0.25,102.3801,113.2659,1492.4678
0.255,102.3545,113.23759,1492.0947
0.26,102.32892,113.20929,1491.7218
0.265,102.30334,113.180984,1491.3489
0.27,102.27777,113.152695,1490.9761
0.275,102.2522,113.12441,1490.6034
0.28,102.22664,113.09613,1490.2307
0.28500000000000003,102.20109,113.06786,1489.8583
0.29,102.175545,113.039604,1489.4858
0.295,102.149994,113.01134,1489.1135
0.3,102.124466,112.98309,1488.7413
0.305,102.09893,112.95485,1488.3691
0.31,102.07341,112.92661,1487.9971
0.315,102.0479,112.898384,1487.6251
0.32,102.02239,112.87017,1487.2533
0.325,101.99689,112.84195,1486.8815
0.33,101.97139,112.81374,1486.5098
0.335,101.9459,112.785545,1486.1383
0.34,101.92042,112.757355,1485.7667
0.34500000000000003,101.89494,112.729164,1485.3954
0.35000000000000003,101.86947,112.70099,1485.024
