position,time,mean_hi
0,10,0.0
0,16,0.0
0,22,0.0
0,28,0.0
0,34,0.0
0,40,0.0
0,140,0.0
1,10,0.0
1,16,0.0
1,22,0.0
1,28,0.0
1,34,0.0
1,40,0.0
1,140,0.0
2,10,0.0
2,16,0.0
2,22,0.0
2,28,0.0
2,34,0.0
2,40,0.0
2,140,0.0
3,10,0.0
3,16,0.0
3,22,0.0
3,28,0.0
3,34,0.0
3,40,0.0
3,140,0.0
4,10,0.0
4,16,0.0
4,22,0.0
4,28,0.0
4,34,0.0
4,40,0.0
4,140,0.0
5,10,0.0
5,16,0.0
5,22,0.0
5,28,0.0
5,34,0.0
5,40,0.0
5,140,0.0
6,10,0.0
6,16,0.0
6,22,0.0
6,28,0.0
6,34,0.0
6,40,0.0
6,140,0.0
7,10,0.0
7,16,0.0
7,22,0.0
7,28,0.0
7,34,0.0
7,40,0.0
7,140,0.0
8,10,0.0
8,16,0.0
8,22,0.0
8,28,0.0
8,34,0.0
8,40,0.0
8,140,0.0
9,10,0.0
9,16,0.0
9,22,0.0
9,28,0.0
9,34,0.0
9,40,0.0
9,140,0.0
10,10,0.0
10,16,0.0
10,22,0.0
10,28,0.0
10,34,0.0
10,40,0.0
10,140,0.0
11,10,0.0
11,16,0.0
11,22,0.0
11,28,0.0
11,34,0.0
11,40,0.0
11,140,0.0
12,10,0.0
12,16,0.0
12,22,0.0
12,28,0.0
12,34,0.0
12,40,0.0
12,140,0.0
13,10,0.0
13,16,0.0
13,22,0.0
13,28,0.0
13,34,0.0
13,40,0.0
13,140,0.0
14,10,0.0
14,16,0.0
14,22,0.0
14,28,0.0
14,34,0.0
14,40,0.0
14,140,0.0
15,10,0.0
15,16,0.0
15,22,0.0
15,28,0.0
15,34,0.0
15,40,0.0
15,140,0.0
16,10,0.0
16,16,0.0
16,22,0.0
16,28,0.0
16,34,0.0
16,40,0.0
16,140,0.0
17,10,0.0
17,16,0.0
17,22,0.0
17,28,0.0
17,34,0.0
17,40,0.0
17,140,0.0
18,10,0.0
18,16,0.0
18,22,0.0
18,28,0.0
18,34,0.0
18,40,0.0
18,140,0.0
19,10,0.0
19,16,0.0
19,22,0.0
19,28,0.0
